attributeName	code	definition
species	CIRR.SP	
species	CO.AYGU	
species	CO.CENT	
species	CO.DUOS	
species	CO.GAIM	
species	CO.NEOP	
species	CT.BINO	
species	CT.CYAN	
species	CT.HAWA	
species	CT.MARG	
species	CT.STRI	
species	DA.ARUA	
species	DA.AURI	
species	DA.TRIM	
species	DE.MACA	
species	EC.MIDA	
species	EL.BIPI	
species	EP.FASC	
species	EP.HEXA	
species	EP.HOWL	
species	EP.INSI	
species	EP.MACR	
species	EP.MELA	
species	EP.MERR	
species	EP.POLY	
species	EP.SPIL	
species	EP.TAUV	
species	EV.ALBO	
species	EX.BREV	
species	FI.COMM	
species	FO.FLAV	
species	FO.LONG	
species	GN.AURE	
species	GNAT.SP	
species	GO.VARI	
species	GOBI.SP	
species	GR.ALBO	
species	GY.FLAV	
species	GY.JAVA	
species	GY.UNDU	
species	HA.HORT	
species	HA.MARG	
species	HA.MELA	
species	HA.ORNA	
species	HA.TRIM	
species	HE.FASC	
species	HI.LONG	
species	HO.ANNU	
species	KY.CINE	
species	KY.PACI	
species	KY.VAIG	
species	KYPH.SP	
species	LA.BICO	
species	LA.DIMI	
species	LA.RUBR	
species	LA.UNIL	
species	LA.XANT	
species	LE.OLIV	
species	LE.TAPE	
species	LE.XANT	
species	LU.BOHA	
species	LU.FULV	
species	LU.GIBB	
species	LU.KASM	
species	LU.MONO	
species	LU.WHIT	
species	MA.BIRO	
species	MA.MELE	
species	ME.NIGE	
species	ME.VIDU	
species	MO.GRAN	
species	MU.FLAV	
species	MU.MIMI	
species	MU.VANI	
species	MY.ADUS	
species	MY.AMAE	
species	MY.BERN	
species	MY.EARL	
species	MY.KUNT	
species	MY.MURD	
species	MY.WOOD	
species	NA.ANNU	
species	NA.BREV	
species	NA.HEXA	
species	NA.LITU	
species	NA.UNIC	
species	NA.VLAM	
species	NE.MAGN	
species	NE.OPER	
species	NE.SAMM	
species	NO.TAEN	
species	OD.NIGE	
species	OS.ANGU	
species	OS.MELE	
species	OX.DIAG	
species	OX.DIGR	
species	OX.UNIF	
species	OXYC.SP	
species	PA.ARCA	
species	PA.BARB	
species	PA.CRAS	
species	PA.CYCL	
species	PA.FORS	
species	PA.HEMI	
species	PA.INSU	
species	PA.MULT	
species	PA.PLEU	
species	PE.MARG	
species	PE.OUAL	
species	PL.ARGA	
species	PL.DICK	
species	PL.IMPA	
species	PL.JOHN	
species	PL.ORBI	
species	PL.PHOE	
species	PL.RHIN	
species	PL.TAPE	
species	PO.COEL	
species	PO.IMPE	
species	PR.HAMR	
species	PS.BART	
species	PS.COOP	
species	PS.DISP	
species	PS.FLAV	
species	PS.HETE	
species	PS.HEXA	
species	PS.MOLU	
species	PS.OCTO	
species	PS.OLIV	
species	PS.TETR	
species	PT.EVID	
species	PT.HETE	
species	PT.MAGN	
species	PT.MICR	
species	PT.TILE	
species	RH.ACUL	
species	RH.RECT	
species	SA.CAUD	
species	SA.DIAD	
species	SA.SPIN	
species	SA.TIER	
species	SC.ALTI	
species	SC.DIMI	
species	SC.FORS	
species	SC.FREN	
species	SC.GHOB	
species	SC.GLOB	
species	SC.LYSA	
species	SC.NIGE	
species	SC.OVIC	
species	SC.PSIT	
species	SC.RUBR	
species	SC.SCHL	
species	SC.SPIN	
species	SC.TRIC	
species	SCAR.SP	
species	SE.CYAN	
species	SP.BARR	
species	SP.HELL	
species	SP.QENI	
species	ST.ALBI	
species	ST.AURE	
species	ST.BAND	
species	ST.FASC	
species	ST.NIGR	
species	SU.BURS	
species	SU.CHRY	
species	SY.JACU	
species	TH.AMBL	
species	TH.HARD	
species	TH.LUNA	
species	TH.LUTE	
species	TH.PURP	
species	TH.QUIN	
species	TH.TRIL	
species	THAL.SP	
species	TR.OBES	
species	TY.CROC	
species	VA.LOUT	
species	XA.AURO	
species	XA.MENT	
species	ZA.CORN	
species	ZE.ROST	
species	ZE.SCOP	
species	ZE.VELI	
station_clean	CHANNEL	
station_clean	DRT1	
station_clean	DRT2	
station_clean	DRT3	
station_clean	ETIP1	
station_clean	ETIP2	
station_clean	ETIP3	
station_clean	ETIP4	
station_clean	FR1	
station_clean	FR2	
station_clean	FR4	
station_clean	FR5	
station_clean	FR6	
station_clean	FR7	
station_clean	FR8	
station_clean	FR9	
station_clean	GBANGER	
station_clean	GBANGER WEST	
station_clean	HOLEI	
station_clean	LG1	
station_clean	LONGLINE NE INNER	
station_clean	LONGLINE NE OUTER	
station_clean	LONGLINE NW INNER	
station_clean	LONGLINE NW OUTER	
station_clean	LONGLINE SE INNER	
station_clean	LONGLINE SE OUTER	
station_clean	LONGLINE SW INNER	
station_clean	LONGLINE SW OUTER	
station_clean	LONGLINER	
station_clean	MARAGOS	
station_clean	NBEACHW	
station_clean	NORTH BARREN	
station_clean	PAL30	
station_clean	PALF14	
station_clean	PALF17	
station_clean	PALF2	
station_clean	PALF22	
station_clean	PALF25	
station_clean	PARADISE	
station_clean	PENGUIN SPIT BACKREEF	
station_clean	PENGUIN SPIT FOREREEF	
station_clean	PENGUIN SPIT INNER	
station_clean	PENGUIN SPIT MID	
station_clean	RT10	
station_clean	RT13	
station_clean	RT2	
station_clean	RT20	
station_clean	RT21	
station_clean	RT22	
station_clean	RT23	
station_clean	RT25	
station_clean	RT3	
station_clean	RT4	
station_clean	RT5	
station_clean	RT6	
station_clean	RT7	
station_clean	RT8	
station_clean	RT9	
station_clean	RUBBLEPILE	
station_clean	RUBBLEPILE EAST	
station_clean	TORTUGONES	
station_clean	WESTERN TERRACE	
station_clean	WTIP6	
station_clean	WTIP7	
station_clean	WTIP8	
station_clean	WTIP9	
transect	A	
transect	B	
transect	C	
transect	D	
transect	E	
transect	F	
